open,high,low,close,volume,date
4472.894,4599.248,4472.894,4598.379,7819047300.0,2007-08-03
4642.78,4704.188,4623.489,4703.984,7616427100.0,2007-08-06
4715.389,4771.584,4634.868,4724.547,8384713300.0,2007-08-07
4680.071,4741.448,4579.404,4668.087,8898800100.0,2007-08-08
4666.421,4779.143,4666.204,4777.286,7202578600.0,2007-08-09
4765.852,4771.606,4631.043,4726.683,7496288100.0,2007-08-10
4724.516,4767.08,4663.199,4721.192,8576316700.0,2007-08-13
4721.446,4803.567,4704.148,4795.568,6115791100.0,2007-08-14
4804.676,4836.587,4697.97,4798.75,6346642700.0,2007-08-15
4772.356,4772.97,4665.21,4721.942,6359479400.0,2007-08-16
4694.2,4774.988,4616.966,4626.583,6365212000.0,2007-08-17
4749.204,4885.835,4747.27,4885.427,6781220400.0,2007-08-20
4915.524,4995.527,4909.844,4972.711,7444059300.0,2007-08-21
4899.93,5075.892,4887.139,5051.688,7402892500.0,2007-08-22
5075.51,5154.846,5028.124,5135.93,6805188200.0,2007-08-23
5161.15,5231.154,5158.033,5217.581,7376987500.0,2007-08-24
5250.619,5296.571,5191.28,5243.147,8263145400.0,2007-08-27
5220.639,5270.302,5136.614,5251.77,7506678900.0,2007-08-28
5215.655,5283.333,5138.336,5171.822,7292945600.0,2007-08-29
5193.726,5247.572,5175.997,5241.228,6729849000.0,2007-08-30
5255.091,5307.417,5219.989,5296.813,6678035700.0,2007-08-31
5335.049,5433.745,5335.049,5419.169,8284916600.0,2007-09-03
5421.254,5429.206,5333.494,5360.333,7991483200.0,2007-09-04
5357.553,5389.325,5265.064,5363.251,6536490200.0,2007-09-05
5389.486,5448.84,5365.497,5412.037,7060857400.0,2007-09-06
5382.911,5402.715,5284.65,5294.795,7929888000.0,2007-09-07
5226.736,5380.456,5182.101,5377.222,6509567200.0,2007-09-10
5384.559,5413.999,5104.347,5124.092,6880669000.0,2007-09-11
5102.576,5212.652,5059.464,5202.856,6157225300.0,2007-09-12
5230.645,5351.575,5212.03,5349.97,5974692900.0,2007-09-13
5362.465,5405.854,5274.221,5397.278,6029562600.0,2007-09-14
5389.501,5504.771,5387.68,5498.908,6940313200.0,2007-09-17
5524.099,5533.532,5405.184,5476.839,7162181000.0,2007-09-18
5487.377,5498.594,5385.424,5419.268,5588006500.0,2007-09-19
5436.641,5501.399,5430.309,5494.915,5671213600.0,2007-09-20
5508.505,5516.107,5357.504,5468.098,6110635600.0,2007-09-21
5481.382,5541.134,5400.679,5513.895,5418481700.0,2007-09-24
5524.016,5540.873,5423.525,5454.615,4532623000.0,2007-09-25
5433.63,5489.858,5338.305,5361.021,3917115600.0,2007-09-26
5364.529,5429.052,5338.044,5427.657,3375905600.0,2007-09-27
5479.853,5590.849,5479.853,5580.813,4851462000.0,2007-09-28
5703.28,5715.907,5617.097,5653.136,6644970300.0,2007-10-08
5638.633,5682.967,5582.771,5675.927,5363349000.0,2007-10-09
5694.986,5776.209,5653.789,5685.759,6399445500.0,2007-10-10
5695.128,5761.216,5650.104,5760.078,6514110100.0,2007-10-11
5777.898,5796.28,5485.564,5737.221,7800106400.0,2007-10-12
5761.869,5824.976,5690.07,5821.447,7068211100.0,2007-10-15
5851.538,5885.484,5815.609,5877.202,6469204900.0,2007-10-16
5862.378,5891.723,5797.611,5824.117,4886976800.0,2007-10-17
5813.239,5813.239,5593.988,5615.747,4859563000.0,2007-10-18
5651.032,5711.497,5563.783,5614.06,3846645700.0,2007-10-19
5543.793,5594.497,5465.854,5472.677,3586749900.0,2007-10-22
5467.832,5541.957,5373.05,5540.09,4189680000.0,2007-10-23
5564.478,5644.973,5553.326,5588.014,4466123800.0,2007-10-24
5549.664,5556.552,5312.85,5333.792,5082170600.0,2007-10-25
5279.1,5428.576,5266.372,5394.807,3589596500.0,2007-10-26
5428.683,5509.345,5428.683,5508.357,3523397700.0,2007-10-29
5529.965,5597.265,5467.523,5596.068,3919392100.0,2007-10-30
5663.756,5691.865,5590.54,5688.543,5032946900.0,2007-10-31
5701.487,5702.211,5604.79,5605.232,4661247900.0,2007-11-01
5514.852,5565.66,5448.986,5472.93,4328950000.0,2007-11-02
5438.811,5494.616,5333.382,5360.305,3369501800.0,2007-11-05
5331.31,5406.105,5295.795,5317.549,2705785400.0,2007-11-06
5348.556,5388.639,5231.614,5350.629,3006134900.0,2007-11-07
5321.863,5321.863,5090.959,5093.669,3605489300.0,2007-11-08
5042.756,5129.113,4962.302,5040.525,3458382600.0,2007-11-09
4916.817,5018.107,4795.431,4978.252,3841392200.0,2007-11-12
5024.521,5082.639,4866.156,4939.244,3686207900.0,2007-11-13
5013.782,5147.014,4924.816,5145.888,3523154200.0,2007-11-14
5129.813,5170.968,5069.519,5081.113,3175946400.0,2007-11-15
4999.843,5021.711,4917.489,5007.662,2331099100.0,2007-11-16
5017.404,5033.947,4968.733,4994.416,2554810100.0,2007-11-19
4964.564,5099.515,4916.471,5069.382,3356271400.0,2007-11-20
5087.248,5135.247,4993.289,4997.62,2680312200.0,2007-11-21
4902.627,4949.335,4759.906,4772.617,2650771600.0,2007-11-22
4733.365,4857.052,4711.792,4856.161,2014630500.0,2007-11-23
4931.599,4954.18,4795.352,4800.082,2362227600.0,2007-11-26
4759.006,4806.828,4708.798,4711.152,2088684000.0,2007-11-27
4724.467,4760.659,4619.514,4648.751,2248236800.0,2007-11-28
4708.384,4847.576,4637.482,4842.07,3687299000.0,2007-11-29
4841.076,4841.076,4723.787,4737.408,2938369600.0,2007-11-30
4714.921,4809.267,4689.518,4772.674,2225593400.0,2007-12-03
4786.641,4886.577,4786.641,4829.214,2264359200.0,2007-12-04
4829.953,4970.17,4815.61,4965.947,3176916500.0,2007-12-05
4986.251,4999.932,4928.132,4971.055,2371159100.0,2007-12-06
4979.841,5041.778,4977.868,5041.35,2719822300.0,2007-12-07
4961.67,5138.685,4944.828,5133.562,4278069100.0,2007-12-10
5162.088,5181.406,5068.03,5140.0,4058645700.0,2007-12-11
5108.578,5130.719,5033.716,5077.39,3982825100.0,2007-12-12
5051.784,5067.39,4881.34,4884.298,3681959000.0,2007-12-13
4827.392,4979.185,4800.238,4977.652,3072792500.0,2007-12-14
4976.239,4977.572,4855.167,4857.289,3701452200.0,2007-12-17
4827.26,4882.995,4799.004,4829.909,2293007600.0,2007-12-18
4877.769,4961.593,4865.352,4946.285,3210185800.0,2007-12-19
4968.031,5048.061,4935.401,5037.195,3131991700.0,2007-12-20
5016.459,5103.77,5014.703,5101.852,3725149400.0,2007-12-21
5142.156,5239.217,5129.601,5207.134,5031996700.0,2007-12-24
5217.558,5244.031,5180.587,5216.813,3897370500.0,2007-12-25
5231.969,5273.139,5194.745,5265.026,4146811500.0,2007-12-26
5286.98,5367.53,5260.103,5367.53,5234501800.0,2007-12-27
5379.518,5391.665,5323.821,5338.275,4536141500.0,2007-12-28
5349.763,5404.928,5283.448,5385.103,4566871000.0,2008-01-02
5381.147,5422.673,5315.948,5422.034,6464587800.0,2008-01-03
5430.63,5499.085,5422.456,5483.65,5174642000.0,2008-01-04
5480.442,5569.152,5455.501,5556.593,5348540900.0,2008-01-07
5575.95,5630.624,5485.234,5528.054,6489950100.0,2008-01-08
5507.116,5614.678,5490.305,5613.758,4679687200.0,2008-01-09
5631.645,5707.667,5602.594,5672.154,6422989300.0,2008-01-10
5688.563,5702.572,5629.638,5699.147,5616707900.0,2008-01-11
5717.525,5756.919,5679.287,5731.757,4984601000.0,2008-01-14
5743.431,5754.107,5652.04,5696.45,5088660800.0,2008-01-15
5642.566,5642.566,5498.39,5505.717,5577446900.0,2008-01-16
5445.803,5533.65,5226.639,5365.624,6193693300.0,2008-01-17
5358.183,5419.57,5307.496,5414.468,4391300500.0,2008-01-18
5424.64,5434.349,5122.463,5145.734,4783361700.0,2008-01-21
5015.428,5032.245,4708.388,4753.868,6077269200.0,2008-01-22
4787.171,4976.272,4751.499,4975.111,5577638500.0,2008-01-23
5034.533,5079.796,4926.374,5027.213,5660598700.0,2008-01-24
5022.896,5121.408,4966.519,5077.429,4714210800.0,2008-01-25
5038.507,5038.507,4711.277,4731.883,4142528300.0,2008-01-28
4742.901,4845.658,4688.728,4762.083,2906225600.0,2008-01-29
4817.161,4858.101,4606.144,4710.652,3409897600.0,2008-01-30
4693.607,4733.699,4614.282,4620.401,3085258000.0,2008-01-31
4623.621,4660.994,4414.119,4571.945,3512552800.0,2008-02-01
4695.546,4951.248,4695.546,4950.124,4095314500.0,2008-02-04
4942.875,4995.574,4878.119,4921.829,3279635600.0,2008-02-05
4858.814,4883.244,4785.8,4816.084,2147565900.0,2008-02-13
4858.849,4913.318,4842.847,4880.252,1983778900.0,2008-02-14
4846.024,4846.024,4742.101,4813.311,2426260100.0,2008-02-15
4875.215,4944.88,4845.308,4910.992,3059007800.0,2008-02-18
4926.839,5020.753,4885.695,5020.753,3617696500.0,2008-02-19
5032.777,5062.261,4901.661,4908.717,3955772200.0,2008-02-20
4878.569,4924.449,4796.099,4876.03,3340361600.0,2008-02-21
4850.882,4850.882,4649.813,4702.241,3791862700.0,2008-02-22
4704.316,4722.636,4510.695,4519.783,3365200100.0,2008-02-25
4637.6,4668.831,4394.594,4515.533,3327639000.0,2008-02-26
4543.097,4660.408,4500.89,4639.768,2959239300.0,2008-02-27
4651.157,4670.173,4582.823,4622.056,2539817100.0,2008-02-28
4616.24,4683.159,4597.627,4674.55,2335085800.0,2008-02-29
4648.735,4803.9,4611.7,4790.744,3925841100.0,2008-03-03
4813.401,4836.657,4657.381,4671.148,4512977700.0,2008-03-04
4650.518,4689.967,4519.743,4628.724,3941799300.0,2008-03-05
4645.069,4746.584,4592.621,4685.03,4440226800.0,2008-03-06
4641.755,4693.207,4597.009,4621.685,2869094500.0,2008-03-07
4588.727,4588.765,4406.232,4431.589,3178035500.0,2008-03-10
4393.282,4441.184,4315.183,4441.184,2627659200.0,2008-03-11
4534.811,4553.336,4308.35,4309.648,2714564400.0,2008-03-12
4266.273,4296.364,4121.275,4198.96,3445130700.0,2008-03-13
4179.438,4212.408,4092.791,4157.871,2342788500.0,2008-03-14
4138.877,4138.877,3958.292,3965.279,2818096100.0,2008-03-17
3924.87,3996.959,3700.35,3763.948,3452375100.0,2008-03-18
3837.603,3954.466,3776.301,3888.861,3789847700.0,2008-03-19
3833.205,4044.692,3658.04,4001.832,4621294400.0,2008-03-20
3998.197,4083.163,3958.967,4037.83,4261516300.0,2008-03-21
4086.07,4103.574,3857.091,3857.091,3584243800.0,2008-03-24
3780.459,3937.671,3747.019,3905.774,3224586300.0,2008-03-25
3926.864,4001.552,3888.018,3914.37,2803676300.0,2008-03-26
3847.439,3873.611,3745.879,3748.92,3200066800.0,2008-03-27
3712.98,3925.856,3661.381,3918.156,4209677700.0,2008-03-28
3802.206,3891.66,3780.122,3790.53,2944084100.0,2008-03-31
3776.268,3815.157,3566.209,3582.855,3530346200.0,2008-04-01
3621.388,3698.526,3493.184,3547.977,4276588400.0,2008-04-02
3518.223,3665.651,3457.617,3650.698,3298949300.0,2008-04-03
3611.958,3854.068,3578.377,3845.822,4048498200.0,2008-04-07
3852.011,3935.333,3820.1,3891.059,4406792200.0,2008-04-08
3857.275,3911.697,3687.597,3688.125,3899716800.0,2008-04-09
3641.66,3754.715,3608.316,3754.715,2880439600.0,2008-04-10
3794.297,3825.295,3755.015,3783.728,2632859000.0,2008-04-11
3699.142,3710.786,3525.185,3536.327,3342704600.0,2008-04-14
3513.068,3583.861,3417.249,3583.299,3065688600.0,2008-04-15
3573.664,3583.808,3483.185,3494.016,2652812000.0,2008-04-16
3493.238,3559.1,3340.875,3386.63,2953061800.0,2008-04-17
3356.562,3390.551,3248.528,3272.499,2788816200.0,2008-04-18
3516.425,3516.425,3223.886,3267.554,4136230700.0,2008-04-21
3207.881,3301.548,3122.39,3296.277,3253796900.0,2008-04-22
3267.359,3467.431,3245.296,3453.727,4427255300.0,2008-04-23
3739.321,3781.477,3659.726,3774.504,9657489600.0,2008-04-24
3781.912,3915.841,3737.984,3803.07,8481449100.0,2008-04-25
3740.951,3791.77,3711.185,3729.154,4883123500.0,2008-04-28
3704.927,3797.528,3702.021,3776.943,4454044000.0,2008-04-29
3793.853,3970.575,3793.853,3959.119,6990977700.0,2008-04-30
4015.212,4061.472,3972.561,4055.779,6253407300.0,2008-05-05
4021.073,4075.575,3961.344,4010.888,5845928000.0,2008-05-06
3986.129,4042.407,3821.107,3821.319,5445770600.0,2008-05-07
3774.044,3926.004,3761.28,3925.041,4405566800.0,2008-05-08
3960.886,3973.058,3806.519,3878.924,5365592900.0,2008-05-09
3804.985,3952.789,3766.577,3904.92,4538266000.0,2008-05-12
3786.534,3923.171,3778.718,3851.687,5033801200.0,2008-05-13
3843.47,3975.795,3843.47,3975.782,5060690100.0,2008-05-14
4006.658,4038.852,3948.062,3948.088,5077297500.0,2008-05-15
3948.034,3982.221,3882.895,3936.121,3972175200.0,2008-05-16
3926.314,3936.277,3865.5,3914.072,2970958100.0,2008-05-19
3911.096,3946.441,3698.554,3710.818,3970262900.0,2008-05-20
3668.181,3801.067,3591.566,3783.049,4359616200.0,2008-05-21
3732.641,3783.849,3704.157,3711.444,4074271700.0,2008-05-22
3697.89,3741.06,3629.009,3675.147,3344043100.0,2008-05-23
3643.012,3643.012,3555.762,3559.217,2818019000.0,2008-05-26
3549.986,3594.657,3533.466,3576.197,2476269300.0,2008-05-27
3583.284,3697.996,3561.733,3676.23,3103491400.0,2008-05-28
3666.196,3677.02,3578.732,3580.868,2942274000.0,2008-05-29
3585.605,3620.225,3552.662,3611.33,2859084700.0,2008-05-30
