date,future,index
2019-02-11,3305.6,3306.473
2019-02-12,3325.0,3330.335
2019-02-13,3397.4,3397.028
2019-02-14,3402.4,3402.14
2019-02-15,3352.6,3338.705
2019-02-18,3447.4,3445.745
2019-02-19,3438.0,3439.608
2019-02-20,3449.6,3451.927
2019-02-21,3448.0,3442.706
2019-02-22,3539.8,3520.118
2019-02-25,3800.2,3729.483
2019-02-26,3701.8,3684.694
2019-02-27,3685.2,3678.392
2019-02-28,3677.4,3669.37
2019-03-01,3750.0,3749.714
2019-03-04,3786.8,3794.104
2019-03-05,3822.8,3816.013
2019-03-06,3846.6,3848.09
2019-03-07,3808.8,3808.85
2019-03-08,3673.2,3657.579
2019-03-11,3721.0,3729.955
2019-03-12,3747.4,3755.352
2019-03-13,3720.8,3724.194
2019-03-14,3699.0,3698.486
2019-03-15,3741.2,3745.005
2019-03-18,3868.2,3851.748
2019-03-19,3836.0,3833.963
2019-03-20,3837.4,3835.44
2019-03-21,3830.0,3836.891
2019-03-22,3843.4,3833.801
2019-03-25,3740.8,3742.825
2019-03-26,3709.0,3700.439
2019-03-27,3730.0,3743.388
2019-03-28,3721.8,3728.395
2019-03-29,3876.2,3872.341
2019-04-01,3982.0,3973.928
2019-04-02,3971.2,3971.285
2019-04-03,4030.8,4022.157
2019-04-04,4085.6,4062.231
2019-04-08,4052.2,4057.229
2019-04-09,4081.6,4075.43
2019-04-10,4089.6,4085.847
2019-04-11,4013.0,3997.578
2019-04-12,3996.8,3988.617
2019-04-15,3967.8,3975.524
2019-04-16,4093.0,4085.789
2019-04-17,4080.6,4087.24
2019-04-18,4070.6,4072.075
2019-04-19,4130.2,4120.608
2019-04-22,4020.2,4025.611
2019-04-23,4018.8,4019.005
2019-04-24,4025.0,4030.089
2019-04-25,3948.6,3941.816
2019-04-26,3891.4,3889.275
2019-04-29,3914.8,3900.334
2019-04-30,3913.8,3913.211
2019-05-06,3668.0,3684.617
2019-05-07,3714.4,3720.668
2019-05-08,3664.2,3667.457
2019-05-09,3597.6,3599.7
2019-05-10,3711.0,3730.451
2019-05-13,3657.2,3668.726
2019-05-14,3638.6,3645.15
2019-05-15,3715.2,3727.092
2019-05-16,3732.8,3743.964
2019-05-17,3617.4,3648.761
2019-05-20,3587.8,3617.792
2019-05-21,3625.2,3666.776
2019-05-22,3622.0,3649.38
2019-05-23,3557.6,3583.965
2019-05-24,3569.4,3593.914
2019-05-27,3607.2,3637.197
2019-05-28,3626.0,3672.261
2019-05-29,3627.4,3663.909
2019-05-30,3619.4,3641.183
2019-05-31,3594.8,3629.789
2019-06-03,3613.8,3632.013
2019-06-04,3586.2,3598.467
2019-06-05,3574.6,3597.105
2019-06-06,3544.6,3564.678
2019-06-10,3591.8,3610.744
2019-06-11,3706.2,3719.276
2019-06-12,3676.0,3691.096
2019-06-13,3668.6,3685.393
2019-06-14,3645.0,3654.88
2019-06-17,3652.0,3654.825
2019-06-18,3661.2,3667.619
2019-06-19,3718.4,3715.938
2019-06-20,3821.6,3828.518
2019-06-21,3809.2,3833.938
2019-06-24,3814.0,3841.266
2019-06-25,3773.0,3801.31
2019-06-26,3769.0,3794.331
2019-06-27,3813.8,3834.817
2019-06-28,3817.6,3825.587
2019-07-01,3911.0,3935.812
2019-07-02,3913.0,3937.169
2019-07-03,3879.2,3893.534
2019-07-04,3855.8,3873.102
2019-07-05,3874.6,3893.203
2019-07-08,3780.0,3802.79
2019-07-09,3771.4,3793.13
2019-07-10,3772.6,3786.739
2019-07-11,3769.2,3785.221
2019-07-12,3799.8,3808.731
2019-07-15,3817.8,3824.188
2019-07-16,3803.4,3806.845
2019-07-17,3794.6,3804.638
2019-07-18,3770.6,3768.402
2019-07-19,3805.8,3807.955
2019-07-22,3769.2,3781.683
2019-07-23,3780.0,3789.914
2019-07-24,3810.0,3819.833
2019-07-25,3848.8,3851.067
2019-07-26,3851.8,3858.569
2019-07-29,3843.6,3854.27
2019-07-30,3861.4,3870.318
2019-07-31,3838.0,3835.359
2019-08-01,3798.4,3803.469
2019-08-02,3740.0,3747.438
2019-08-05,3667.0,3675.688
2019-08-06,3625.8,3636.329
2019-08-07,3598.2,3621.431
2019-08-08,3638.8,3669.294
2019-08-09,3621.6,3633.53
2019-08-12,3672.8,3699.105
2019-08-13,3652.2,3665.752
2019-08-14,3673.4,3682.402
2019-08-15,3688.4,3694.001
2019-08-16,3684.8,3710.539
2019-08-19,3783.4,3791.095
2019-08-20,3772.0,3787.732
2019-08-21,3775.0,3781.758
2019-08-22,3777.2,3793.506
2019-08-23,3805.2,3820.864
2019-08-26,3762.2,3765.911
2019-08-27,3803.4,3816.946
2019-08-28,3795.0,3802.584
2019-08-29,3782.2,3790.187
2019-08-30,3791.8,3799.586
2019-09-02,3832.6,3848.32
2019-09-03,3835.0,3853.611
2019-09-04,3888.0,3886.001
2019-09-05,3923.6,3925.323
2019-09-06,3958.0,3948.508
2019-09-09,3968.2,3972.948
2019-09-10,3960.6,3959.265
2019-09-11,3933.8,3930.1
2019-09-12,3976.8,3972.38
2019-09-16,3959.8,3957.715
2019-09-17,3888.4,3891.221
2019-09-18,3904.2,3910.084
2019-09-19,3925.0,3924.382
2019-09-20,3932.0,3935.651
2019-09-23,3894.8,3890.662
2019-09-24,3894.6,3901.076
2019-09-25,3869.6,3870.984
2019-09-26,3844.4,3841.139
2019-09-27,3855.8,3852.653
2019-09-30,3794.0,3814.528
2019-10-08,3828.0,3837.679
2019-10-09,3832.8,3843.239
2019-10-10,3863.8,3874.639
2019-10-11,3913.4,3911.725
2019-10-14,3945.2,3953.241
2019-10-15,3934.8,3936.25
2019-10-16,3917.8,3922.685
2019-10-17,3926.8,3925.222
2019-10-18,3880.6,3869.378
2019-10-21,3866.8,3880.84
2019-10-22,3878.8,3895.881
2019-10-23,3862.8,3871.085
2019-10-24,3870.4,3870.668
2019-10-25,3899.0,3896.792
2019-10-28,3919.0,3926.585
2019-10-29,3905.0,3910.226
2019-10-30,3877.0,3891.226
2019-10-31,3879.0,3886.752
2019-11-01,3959.4,3952.387
2019-11-04,3974.2,3978.122
2019-11-05,3996.4,4002.813
2019-11-06,3983.0,3984.882
2019-11-07,3990.2,3991.875
2019-11-08,3968.8,3973.011
2019-11-11,3906.6,3902.978
2019-11-12,3897.6,3903.689
2019-11-13,3900.0,3899.982
2019-11-14,3900.0,3905.857
2019-11-15,3879.0,3877.089
2019-11-18,3908.8,3907.929
2019-11-19,3953.6,3947.039
2019-11-20,3907.8,3907.864
2019-11-21,3888.4,3889.598
2019-11-22,3839.6,3849.995
2019-11-25,3873.4,3878.206
2019-11-26,3875.8,3891.653
2019-11-27,3878.8,3875.619
2019-11-28,3868.6,3862.303
2019-11-29,3827.4,3828.671
2019-12-02,3838.0,3836.059
2019-12-03,3856.6,3851.087
2019-12-04,3852.4,3849.819
2019-12-05,3880.0,3879.364
2019-12-06,3909.6,3902.385
2019-12-09,3900.4,3895.447
2019-12-10,3903.0,3900.384
2019-12-11,3909.2,3902.749
2019-12-12,3895.4,3891.024
2019-12-13,3979.6,3968.221
2019-12-16,3988.0,3987.546
2019-12-17,4048.2,4041.8
2019-12-18,4038.4,4032.783
2019-12-19,4028.8,4027.15
2019-12-20,4035.0,4017.253
2019-12-23,3979.4,3967.096
2019-12-24,3998.4,3992.958
2019-12-25,4002.8,3990.867
2019-12-26,4034.6,4025.988
2019-12-27,4028.0,4022.028
2019-12-30,4090.8,4081.633
2019-12-31,4109.4,4096.582
2020-01-02,4160.4,4152.241
2020-01-03,4151.8,4144.965
2020-01-06,4132.6,4129.295
2020-01-07,4162.4,4160.227
2020-01-08,4125.6,4112.317
2020-01-09,4166.4,4164.37
2020-01-10,4165.0,4163.185
2020-01-13,4210.8,4203.988
2020-01-14,4198.8,4189.886
2020-01-15,4163.2,4166.734
2020-01-16,4157.4,4149.043
2020-01-17,4151.6,4154.853
2020-01-20,4202.2,4185.83
2020-01-21,4123.4,4114.309
2020-01-22,4136.4,4131.931
2020-01-23,3994.2,4003.901
2020-02-03,3591.2,3688.358
2020-02-04,3766.8,3785.638
2020-02-05,3800.4,3828.527
2020-02-06,3891.8,3899.775
2020-02-07,3892.8,3899.869
2020-02-10,3891.4,3916.005
2020-02-11,3935.6,3952.464
2020-02-12,3966.4,3984.433
2020-02-13,3953.0,3959.919
2020-02-14,3983.8,3987.734
2020-02-17,4079.2,4077.424
2020-02-18,4046.2,4057.511
2020-02-19,4049.2,4051.311
2020-02-20,4138.4,4144.656
2020-02-21,4158.6,4149.49
2020-02-24,4120.0,4132.839
2020-02-25,4117.0,4123.854
2020-02-26,4076.0,4073.015
2020-02-27,4077.8,4084.876
2020-02-28,3925.8,3940.049
2020-03-02,4056.4,4069.666
2020-03-03,4072.4,4091.362
2020-03-04,4106.2,4115.052
2020-03-05,4191.8,4206.725
2020-03-06,4120.8,4138.507
2020-03-09,3977.8,3997.133
2020-03-10,4072.2,4082.732
2020-03-11,4001.4,4028.429
2020-03-12,3949.0,3950.911
2020-03-13,3894.2,3895.313
2020-03-16,3692.0,3727.84
2020-03-17,3682.0,3709.682
2020-03-18,3610.0,3636.257
2020-03-19,3584.0,3589.093
2020-03-20,3624.0,3653.224
2020-03-23,3508.6,3530.306
2020-03-24,3598.0,3625.115
2020-03-25,3687.2,3722.518
2020-03-26,3663.4,3698.047
2020-03-27,3680.2,3710.061
2020-03-30,3662.8,3674.111
2020-03-31,3652.0,3686.155
2020-04-01,3648.2,3675.076
2020-04-02,3726.8,3734.531
2020-04-03,3694.6,3713.218
2020-04-07,3775.6,3798.021
2020-04-08,3764.8,3780.345
2020-04-09,3779.6,3792.811
2020-04-10,3763.2,3769.178
2020-04-13,3745.0,3753.257
2020-04-14,3812.0,3825.699
2020-04-15,3789.4,3797.362
2020-04-16,3796.8,3802.381
2020-04-17,3850.4,3839.487
2020-04-20,3807.4,3853.455
2020-04-21,3762.4,3808.047
2020-04-22,3801.6,3839.383
2020-04-23,3788.8,3829.753
2020-04-24,3775.0,3796.972
2020-04-27,3795.2,3822.769
2020-04-28,3816.8,3849.147
2020-04-29,3838.4,3867.032
2020-04-30,3904.6,3912.577
2020-05-06,3916.4,3936.254
2020-05-07,3908.6,3924.895
2020-05-08,3949.0,3963.622
2020-05-11,3947.0,3960.18
2020-05-12,3948.0,3960.238
2020-05-13,3958.8,3968.253
2020-05-14,3928.0,3925.218
2020-05-15,3861.0,3912.816
2020-05-18,3881.4,3922.912
2020-05-19,3911.8,3956.25
2020-05-20,3898.6,3935.222
2020-05-21,3870.2,3913.795
2020-05-22,3783.0,3824.064
2020-05-25,3792.6,3829.325
2020-05-26,3828.8,3872.77
2020-05-27,3811.2,3845.614
2020-05-28,3815.8,3856.632
2020-05-29,3820.0,3867.023
2020-06-01,3938.8,3971.34
2020-06-02,3955.0,3983.568
2020-06-03,3951.0,3983.648
2020-06-04,3952.0,3982.185
2020-06-05,3979.0,4001.251
