back_test_date,cal_beta_date,sto_call_number,hold_period,Margin_ratio,beta,Hedge_return,PF_retrun,Future_return
70,150,200000,20,0.1,0.4437949990796318,-3435.9452257034486,-14666.66666666671,11230.72144096326
70,160,200000,5,0.1,0.4355090672381635,-5205.18206427722,-8285.714285714286,3080.532221437065
70,160,200000,10,0.1,0.4355090672381635,-14239.145277439105,-8857.14285714282,-5382.002420296283
70,160,200000,15,0.1,0.4355090672381635,-5477.045368458765,-12000.000000000011,6522.954631541245
70,160,200000,20,0.1,0.4355090672381635,-3645.629860688805,-14666.66666666671,11021.036805977905
70,170,200000,5,0.1,0.43102386083980593,-5236.9077477803385,-8285.714285714286,3048.806537933948
70,170,200000,10,0.1,0.43102386083980593,-14183.717288661343,-8857.14285714282,-5326.574431518524
70,170,200000,15,0.1,0.43102386083980593,-5544.2237581881,-12000.000000000011,6455.776241811911
70,170,200000,20,0.1,0.43102386083980593,-3759.132950560579,-14666.66666666671,10907.53371610613
70,180,200000,5,0.1,0.43882812072032823,-5181.70505319839,-8285.714285714286,3104.009232515896
70,180,200000,10,0.1,0.43882812072032823,-14280.161998370735,-8857.14285714282,-5423.0191412279155
70,180,200000,15,0.1,0.43882812072032823,-5427.333348864969,-12000.000000000011,6572.666651135041
70,180,200000,20,0.1,0.43882812072032823,-3561.6375552704135,-14666.66666666671,11105.029111396296
70,190,200000,5,0.1,0.4302052123273621,-5242.698380651906,-8285.714285714286,3043.015905062381
70,190,200000,10,0.1,0.4302052123273621,-14173.60046536927,-8857.14285714282,-5316.457608226449
70,190,200000,15,0.1,0.4302052123273621,-5556.485287298652,-12000.000000000011,6443.514712701359
70,190,200000,20,0.1,0.4302052123273621,-3779.8497531842745,-14666.66666666671,10886.816913482435
70,200,200000,5,0.1,0.44250394217505196,-5155.7044775884815,-8285.714285714286,3130.0098081258043
70,200,200000,10,0.1,0.44250394217505196,-14325.587642643442,-8857.14285714282,-5468.444785500623
70,200,200000,15,0.1,0.44250394217505196,-5372.277740643391,-12000.000000000011,6627.722259356621
70,200,200000,20,0.1,0.44250394217505196,-3468.6168432066625,-14666.66666666671,11198.049823460047
80,10,200000,5,0.1,0.664681188491747,-3336.8472112012914,-14500.0,11163.15278879871
80,10,200000,10,0.1,0.664681188491747,2451.804021535283,-14249.999999999964,16701.804021535245
80,10,200000,15,0.1,0.664681188491747,9189.95394735285,-1999.9999999998859,11189.953947352737
80,10,200000,20,0.1,0.664681188491747,13787.268305195246,-2499.999999999857,16287.268305195104
80,20,200000,5,0.1,0.7367265918104094,-2126.8628474165744,-14500.0,12373.137152583426
80,20,200000,10,0.1,0.7367265918104094,4262.127869591211,-14249.999999999964,18512.12786959117
80,20,200000,15,0.1,0.7367265918104094,10402.843313281246,-1999.9999999998859,12402.843313281131
80,20,200000,20,0.1,0.7367265918104094,15552.660246961656,-2499.999999999857,18052.660246961514
80,30,200000,5,0.1,0.6222440509794931,-4049.568224178227,-14500.0,10450.431775821775
80,30,200000,10,0.1,0.6222440509794931,1385.4630956352757,-14249.999999999964,15635.463095635238
