,date,open,high,low,close,volume,return_rate
404,2018-09-12,3212.8,3227.4,3191.0,3196.4,26701,-0.007020813917365613
405,2018-09-13,3244.8,3255.8,3194.4,3238.4,31756,0.013139782255036916
406,2018-09-14,3244.4,3253.0,3227.4,3240.6,25231,0.0006793478260869003
407,2018-09-17,3218.8,3228.4,3199.2,3207.2,22687,-0.01030673332098997
408,2018-09-18,3205.8,3282.4,3197.0,3273.4,32124,0.02064105762035429
409,2018-09-19,3270.6,3344.4,3267.0,3311.0,27045,0.01148652776929184
410,2018-09-20,3316.6,3338.0,3311.0,3315.0,15649,0.0012080942313500453
411,2018-09-21,3323.0,3428.8,3312.2,3428.2,30210,0.034147812971342326
412,2018-09-25,3393.4,3401.6,3368.4,3389.2,23250,-0.011376232425179395
413,2018-09-26,3405.6,3459.6,3390.4,3422.2,30506,0.009736811046854716
414,2018-09-27,3417.4,3428.8,3400.8,3415.8,24135,-0.001870142013909075
415,2018-09-28,3428.0,3457.4,3417.0,3448.8,26045,0.0096609871772352
416,2018-10-08,3367.0,3376.0,3282.2,3288.8,27383,-0.046392948271862675
417,2018-10-09,3293.8,3314.0,3277.4,3287.0,24649,-0.0005473120895159881
418,2018-10-10,3298.4,3323.0,3256.4,3289.0,27923,0.000608457560085184
419,2018-10-11,3187.2,3217.2,3092.8,3106.8,34394,-0.055396777135907516
420,2018-10-12,3127.8,3188.8,3101.0,3169.0,32050,0.020020599974249972
421,2018-10-15,3169.0,3186.0,3116.2,3122.4,26237,-0.014704954244241057
422,2018-10-16,3135.6,3172.2,3095.0,3110.2,30376,-0.003907250832692888
423,2018-10-17,3156.8,3160.0,3068.0,3121.0,31785,0.003472445501897043
424,2018-10-18,3104.8,3107.8,3047.0,3048.0,20682,-0.023389939122076257
425,2018-10-19,3030.0,3110.0,3023.6,3108.2,11573,0.01975065616797894
426,2018-10-22,3160.0,3307.4,3160.0,3288.4,37613,0.05797567724084688
427,2018-10-23,3282.8,3287.0,3161.2,3180.2,35580,-0.032903539715363174
428,2018-10-24,3180.2,3256.8,3174.0,3186.2,37998,0.001886673794101
429,2018-10-25,3115.4,3209.0,3104.0,3203.6,38611,0.005461050781495227
430,2018-10-26,3211.0,3231.8,3145.2,3165.8,35041,-0.011799225870895158
431,2018-10-29,3169.2,3179.6,3054.8,3077.0,31613,-0.02804978204561254
432,2018-10-30,3078.2,3155.0,3058.2,3113.0,38804,0.011699707507312317
433,2018-10-31,3124.8,3182.2,3111.0,3151.0,34029,0.012206874397687119
434,2018-11-01,3199.0,3229.8,3170.2,3174.6,35244,0.007489685814027264
435,2018-11-02,3264.8,3307.8,3227.6,3306.6,40365,0.04158004158004158
436,2018-11-05,3276.8,3286.2,3228.0,3262.6,31219,-0.013306719893546242
437,2018-11-06,3259.4,3261.4,3212.2,3245.0,28624,-0.005394470667565717
438,2018-11-07,3253.8,3280.6,3207.0,3214.4,35367,-0.00942989214175652
439,2018-11-08,3250.0,3257.6,3205.0,3215.2,31807,0.00024888003982072147
440,2018-11-09,3194.6,3198.8,3167.2,3169.8,27444,-0.014120427967155897
441,2018-11-12,3169.8,3213.0,3160.0,3204.0,28674,0.010789324247586541
442,2018-11-13,3165.8,3264.0,3163.4,3237.2,32672,0.010362047440699068
443,2018-11-14,3236.0,3242.8,3193.4,3204.4,25784,-0.010132213023600558
444,2018-11-15,3208.2,3246.4,3201.0,3241.2,17794,0.011484209212332957
